humidity,wind
62.8,11.6
75.4,5.3
68.1,4.1
62.6,10
83.5,5.6
70.7,7.8
57.6,7.7
69.5,9.8
61.6,7.2
60.7,5.6
51.6,5.4
44.7,5
45.7,5.3
31.8,10.1
29,10.4
47.9,5.7
32.7,6.8
31.6,4.7
24.3,6.1
24.9,7.9
29.7,5.5
31.8,3.2
30.6,3
22.6,9.6
28,6.4
40,8.4
49.6,4.9
36,4.8
26.8,5.6
17.1,9.9
19.8,10.4
46.7,14.3
43.9,13.5
33.8,5.8
28.5,4.4
24,5.1
19,4.8
22.4,5
24.1,6.2
24.3,4.2
25.3,3.1
21.6,4.2
20.2,3.3
16.7,4.3
14.3,5.7
15.6,4.9
18.9,4
20.4,4.5
16.9,6
16.7,3.9
17.9,4.7
21.8,6.8
36.4,10.4
29.3,9.9
37.3,3.8
24.7,5.8
23.5,5.7
19.4,3.8
12.7,5.3
13.9,7.6
35.4,3
36.9,5.3
69.6,9.4
58.5,3.3
46.9,7.8
39.9,6
46.9,6.4
59.3,12.4
68,6.9
59.8,3.7
37.9,7.8
33.7,6.4
38.6,5.8
41.5,5
35.5,4
16.8,10.4
32,13.9
31.1,7.5
29.5,7
33.4,3
36.4,4.7
73.9,10.3
68.5,4.4
57.3,6.8
49.3,12.9
51.3,3.4
45.5,5
43.4,5
58.3,8.2
68.8,5.6
74.4,5.9
75.2,7.1
57.2,7.9
52.1,5.4
39.5,8.3
43.8,9.2
46.2,9.3
37.5,8
38.2,3.1
37.2,4.4
28.5,7.3
25.2,7.4
26.8,3.3
31.2,6.6
62.4,10.5
74.9,10.3
61.2,5.8
69.1,5.5
72,4.9
54,10.2
43.8,10
58.7,13.2
47.2,8.9
36.6,6
38.3,12.7
31.4,9.5
33.3,4.1
30,8.7
34.4,4.6
29.4,2.8
26.6,4.5
19.1,8.8
20.1,7.9
22.8,2.4
26.5,4
27.7,4.9
18.7,5.2
22.8,8.2
33.5,11.3
42.5,6.8
34.9,3.7
28.7,4.8
20,7.2
32.5,12.5
64.9,9.8
62.2,5.9
43.4,3.8
41.2,5.1
36.2,10.8
43.8,6.8
48.6,8.1
45.7,9.5
38.5,7.8
28.7,6.5
17.4,12.3
16.7,11.4
14.8,6.6
16.7,7.5
24.7,7.4
17.9,11.6
27.8,3.9
31.5,3.3
29.9,4.6
31.7,6.1
29.6,8.1
78.8,6.9
70.9,9.1
62.8,7.2
53.9,3.5
45,3.3
38.6,3.9
29,5.5
30.9,4.5
36.8,7
38.8,5.6
47.2,4.6
65.7,5.5
77.1,4.9
64.6,7.9
47.7,7.4
27.6,6.9
30.3,9.4
34.3,7.8
26.3,5.4
25.2,5.5
17.2,7.3
29.8,5.7
36.3,2.8
29.3,5.4
27.8,6.4
26.3,9
45.6,10.8
36.1,6.4
27.2,6.4
24.1,4.1
36.2,3.3
37.5,3.5
28,7.9
34.4,2.8
36.8,2.8
47.9,11.2
41.5,8.3
36.9,5.5
31.4,3.9
34.1,3
36.5,7.6
32.3,12.2
32.3,5.8
33.5,4.1
31.2,3.7
26,4.3
30.4,13.4
28.8,4.5
19.9,3.8
16.6,4.6
23.2,4
22.8,5.4
17.3,5.7
18,3.2
19.9,5.7
29.7,3.2
29.3,5.3
14,6.9
25.8,8.4
25.2,9
18.5,5.7
16.4,5.7
18.6,7.9
32.5,3.6
24.2,2.7
18.9,4.9
15.5,10.2
26.4,10.1
25.9,9.1
21.2,4.9
25,5.6
62.1,7.4
80.6,6.9
71.4,5.2
55.5,5.6
42.9,8.4
40.8,8.2
41.7,7.7
31.5,7.8
23.6,5.7
21.4,12.5
16.1,7.2
15.6,4.6
23.7,6.3
42.3,11.5
47.2,11.4
47.1,9.1
34.3,4.4
39.1,4
39.6,5.7
46.7,4
73.8,7.4
79.8,4.1
72.9,3.6
50.9,4
49,4.6
58.4,6.2
23.8,8.1
26.9,4.1
27.3,3.8
25.7,3.6
59.4,4.5
63.1,9.3
42.8,8.6
33.8,3.2
40.4,6.1
24.7,7.6
27.2,5.9
35.4,3.7
30,4
58.6,10.9
50.6,8.4
73.7,6.5
66.8,7.1
62.5,6.1
44.8,6.2
49,9.7
66.9,9.7
62,8.2
48.9,5.2
43.2,3.1
55.2,6.1
52.6,6.9
46.4,5.1
35.3,9.4
64.8,4.7
60.3,9.3
46.5,6.4
48.4,11
55.4,7.3
48.7,2.8
45.1,6.2
46.9,4
39.8,11.7
27.6,4.1
27,3.1
21.6,7.5
30.3,10.7
28.3,6.2
24,5.2
24.5,5
21.9,4.8
20.9,4.8
24,7.2
37.3,8.5
35,3.3
30.6,4.3
38.6,4.8
54.1,6.8
48.7,7.8
43.4,5.9
49.9,7.3
55.3,10.7
28.1,8.3
27.5,9.5
32.4,9.8
43.8,5.3
38.9,8.8
19.3,4
19.1,4.6
20,8.3
41.6,10.6
38.6,10.9
25.8,8.4
23.6,6.7
44.3,10.1
29.8,7
20.3,5.7
41.3,11.3
47.2,10.1
29.7,5.1
17.9,4.5
16.1,5.6
14.4,5.2
17.3,7.8
47.1,3.7
45.3,3.4
46.3,6
49.3,3.9
47.3,8.9
47.1,4.9
49.2,3.3
53.9,7.8
84.3,5.7
72.9,3.3
73.4,3.6
68,5.4
48.9,8.1
41.4,8.8
30.6,10.8
28,10.4
25.3,6.8
33,5
36,5.2
41,4
34,3.6
34.8,3.3
35.6,3.2
60.1,4.8
62.8,5.4
56.1,5.9
52.5,8.6
63.1,10
51.9,9.3
37,4.8
32.4,4.8
39.6,8.1
69.2,8.4
50,6.7
39,5.4
40.5,3.6
33,5.5
22.4,4.5
27.3,4.2
22.7,6.7
39.9,9.7
33,5.1
27,5
24.6,4.4
21.4,3.8
20.1,3.2
51.6,9.4
54.4,8.3
37.3,5.3
36.8,7.6
33.1,10.2
61.4,7
60.7,8.8
43.9,4.6
41.6,2.8
34.2,4.9
35.8,6.2
40.7,10.3
30.4,5.7
24.9,6.3
30.2,5.5
31.1,4.7
22.4,5.5
20.9,3.2
28.2,10.7
58.8,9.4
64.3,5.3
34.5,9.2
30.8,8
27.6,6.1
25.5,6.4
58,5.6
74.5,9.4
71.7,5.5
59.3,2.8
46.8,4.3
36.9,5.8
25.9,8.1
24.1,6.9
37.3,7.8
49.1,9.6
54.9,12.6
54.2,9.6
46.7,4.4
41,12.8
40.2,10.8
26.6,8.7
24.5,6.5
20,5.3
18.5,3.8
17.1,6
27.9,6.8
32.5,10.1
28.7,6.2
27.4,4.1
23.2,5.1
27.4,4
25.9,2.8
23.5,2.4
21,2.9
51.6,6
53.4,9.6
37.2,6.8
24.9,7
33.8,5.2
30.6,7.5
32.9,5.5
27.2,4
24.6,5
31.8,5.5
29.7,5.6
24.4,3.5
24.5,6
16.7,10.6
14.1,5
14.6,3.1
17.3,6.6
26.7,6.1
22.4,4.4
30.8,8.5
38.7,7.5
42.9,5.9
32.9,4
28.9,7
22.7,6.9
22,4.9
23.4,5.9
20.7,3.7
20.2,3.3
20.5,3.7
38.1,7.6
52.7,5.8
53.8,5.7
40.8,5.4
28.7,8.5
17.6,7.6
15,5.1
15.6,4.7
18.6,5.1
15.1,5.6
34.6,16
67.1,5.6
75.9,4.3
65.4,5
50.3,4.3
47.7,8.4
43.4,10.4
61.5,10.1
43.9,5.6
20.2,6.6
38.8,6
31.9,10.9
26.2,6.7
27.4,6.9
26,3.5
21.3,8.4
26.9,9.6
21.1,9.9
19.4,5.6
13,7.3
12,8.2
13.5,6.9
13.6,7
18.2,5.2
24,5.1
35.9,6.5
65.1,13.5
67.5,5.7
71.3,5.3
45.7,7.3
58.4,5.6
42.3,4.5
28.8,6.5
15.2,9.5
18,5
16.1,5.3
9.3,5.5
10,6.2
21.7,5.2
10,7.4
8.7,10.1
